INGREDIENTES;UND;PRECIO / UNID;RENDIMIENTO
DULCE GUAYABA PORCIONES;kg;4.27 А;100.00%
dulce jornada gastronom.;unid.;0.90 А;100.00%
EDULCORANTE EN POLVO;kg;59.70 А;100.00%
EDULCORANTE EN SOBRE;UNIDAD;0.02 А;100.00%
embutido alemбn;kg;4.13 А;100.00%
embutido jornada gastrono;kg;10.99 А;100.00%
emperador lomo fresco;kg;2.65 А;100.00%
EMPERADOR SALADO;Kg;9.49 А;100.00%
emulsionante;kg;4.95 А;100.00%
endivia;unid;1.20 А;100.00%
ENEBRO;kg;19.80 А;100.00%
eneldo;manj;0.80 А;100.00%
ENELDO EN GRANO;kg;29.73 А;100.00%
ensalada variedades;kg;2.25 А;100.00%
ensaladilla cong.;kg;0.91 А;100.00%
escalope de cerdo;kg;1.67 А;100.00%
escarola;unid;1.85 А;100.00%
esencia de mantequilla;kg;34.93 А;100.00%
esencia vainilla;kg;21.92 А;100.00%
ESPAGUETI FINO;kg;1.25 А;100.00%
ESPARRAGO TALLO;kg;1.24 А;100.00%
esparrago triguero ;kg;5.40 А;100.00%
esparrago verde cong.;kg;6.24 А;100.00%
esparrago verde fresco;manj;1.80 А;100.00%
ESPARRAGOS FINOS;kg;3.21 А;100.00%
ESPARRAGOS GRUESOS;kg;3.92 А;100.00%
espinaca fresca;kg;1.99 А;100.00%
espinacas cong.;kg;0.80 А;100.00%
ESPIRALES LAZO HUEVO;kg;1.17 А;100.00%
ESPIRALES LAZO TRICOLOR;kg;2.33 А;100.00%
estabilizante helados;kg;13.23 А;100.00%
estabilizante sorbete;lt;8.87 А;100.00%
ESTRAGON;kg;19.92 А;100.00%
estragon fresco;manj;0.80 А;100.00%
FETTUCCINI AL HUEVO ;kg;2.38 А;100.00%
FETUCCINI ESPINACAS SEMOLA;kg;4.30 А;100.00%
fiambre extra;kg;6.33 А;100.00%
FIDEO DE ARROZ;kg;7.47 А;100.00%
FIDEO GRUESO;kg;1.19 А;100.00%
FIDEOS FINOS;kg;1.19 А;100.00%
FILETE DE CORVINA SALADA;Kg;7.75 А;100.00%
filete de res cong.;kg;6.49 А;100.00%
filigrana chocolate;unid.;0.04 А;100.00%
filigrana de azucar;paq.;12.12 А;100.00%
flor calabacin;unid;0.30 А;100.00%
flores decoracion pastel;unid.;13.07 А;100.00%
foie gras canapes;kg;30.85 А;100.00%
frambuesa;paq;4.04 А;100.00%
frambuesas cong.;kg;4.04 А;100.00%
frangollo;kg;2.25 А;100.00%
fresa cong.;kg;2.30 А;100.00%
fresas;kg;4.37 А;100.00%
fructosa;kg;7.20 А;100.00%
fruta confitada entera;kg;15.60 А;100.00%
fruta confitada trozos;kg;2.99 А;100.00%
frutas del bosque cong.;kg;2.79 А;100.00%
fuet;kg;8.40 А;100.00%
galletas digestivas;kg;2.06 А;100.00%
galletas ecologicas;kg;10.40 А;100.00%
galletas maria;kg;1.38 А;100.00%
galletas paquete 25-30g;unid.;0.08 А;100.00%
gallina fresc.;kg;1.85 А;100.00%
gallo de corral;kg;6.05 А;100.00%
gamba fresca;kg;45.00 А;100.00%
GAMBAS #5;Kg;5.40 А;100.00%
GAMBAS PELADA;Kg;4.70 А;100.00%
GARBANZO FRASCO;KG;1.17 А;100.00%
GARBANZO LECHOSO;kg;2.09 А;100.00%
garron fresc.;kg;4.50 А;100.00%
GEL DE SILICE;kg;30.66 А;100.00%
gelatina (brillo);kg;1.47 А;100.00%
gelatina en laminas;kg;21.87 А;100.00%
gelatina fria;kg;4.43 А;100.00%
gelatina polvo;kg;4.43 А;100.00%
germinado paquete;paq;3.00 А;100.00%
glucosa;kg;2.47 А;100.00%
GLUCOSA ATOMIZADA;kg;47.74 А;100.00%
gofio;kg;1.45 А;100.00%
GOFIO SOBRE INDIVIDUAL 25 G;UNIDAD;0.07 А;100.00%
gotas chocolate;kg;8.30 А;100.00%
granada;kg;2.40 А;100.00%
granillo chocolate sucedaneo;kg;6.13 А;100.00%
granillo crocanti;kg;2.73 А;100.00%
granos cafй chocolate;kg;11.35 А;100.00%
grasa de pato;kg;14.09 А;100.00%
grasa vegetaс°l pasteleria;kg;2.22 А;100.00%
grosella cong.;kg;1.80 А;100.00%
guayabo ;unid;1.16 А;100.00%
guindas agrias;kg;3.18 А;100.00%
GUINDILLA;kg;1.75 А;100.00%
guisante cong.;kg;0.95 А;100.00%
guisantes;kg;4.50 А;100.00%
HABAS BABY;kg;10.20 А;100.00%
HABAS DE CACAO;kg;31.10 А;100.00%
habas finas cong.;kg;1.73 А;100.00%
HABAS FRITAS;kg;20.25 А;100.00%
habichuelas ;kg;1.50 А;100.00%
hamburguesa cong.;kg;1.73 А;100.00%
hamburguesa V gama ;kg;34.00 А;100.00%
hamburguesas;kg;5.67 А;100.00%
harina cereales;kg;2.54 А;100.00%
